Date,Open,High,Low,Close
10/12/2021,"1,032.46","1,032.46","1,032.46","1,032.46"
10/11/2021,"1,013.80","1,013.80","1,013.80","1,013.80"
10/08/2021,"1,008.19","1,008.19","1,008.19","1,008.19"
10/07/2021,"1,011.35","1,011.35","1,011.35","1,011.35"
10/06/2021,"991.45","991.45","991.45","991.45"
10/05/2021,"990.94","990.94","990.94","990.94"
10/04/2021,"991.63","991.63","991.63","991.63"
10/01/2021,"982.51","982.51","982.51","982.51"
09/30/2021,"981.95","981.95","981.95","981.95"
09/29/2021,"989.33","989.33","989.33","989.33"
09/28/2021,"985.38","985.38","985.38","985.38"
09/27/2021,"999.75","999.75","999.75","999.75"
09/24/2021,"978.28","978.28","978.28","978.28"
09/23/2021,"955.88","955.88","955.88","955.88"
09/22/2021,"949.45","949.45","949.45","949.45"
09/21/2021,"931.30","931.30","931.30","931.30"
09/20/2021,"922.05","922.05","922.05","922.05"
09/17/2021,"959.95","959.95","959.95","959.95"
09/16/2021,"956.97","956.97","956.97","956.97"
09/15/2021,"955.43","955.43","955.43","955.43"
09/14/2021,"939.63","939.63","939.63","939.63"
09/13/2021,"938.90","938.90","938.90","938.90"
09/10/2021,"927.81","927.81","927.81","927.81"
09/09/2021,"945.77","945.77","945.77","945.77"
09/08/2021,"947.11","947.11","947.11","947.11"
09/07/2021,"945.55","945.55","945.55","945.55"
09/06/2021,"925.38","925.38","925.38","925.38"
09/03/2021,"925.38","925.38","925.38","925.38"
09/02/2021,"925.06","925.06","925.06","925.06"
09/01/2021,"927.73","927.73","927.73","927.73"
08/31/2021,"928.77","928.77","928.77","928.77"
08/30/2021,"924.20","924.20","924.20","924.20"
08/27/2021,"906.80","906.80","906.80","906.80"
08/26/2021,"891.31","891.31","891.31","891.31"
08/25/2021,"905.30","905.30","905.30","905.30"
08/24/2021,"901.85","901.85","901.85","901.85"
08/23/2021,"895.08","895.08","895.08","895.08"
08/20/2021,"868.16","868.16","868.16","868.16"
08/19/2021,"862.04","862.04","862.04","862.04"
08/18/2021,"883.22","883.22","883.22","883.22"
08/17/2021,"858.28","858.28","858.28","858.28"
08/16/2021,"886.54","886.54","886.54","886.54"
08/13/2021,"920.70","920.70","920.70","920.70"
08/12/2021,"929.45","929.45","929.45","929.45"
08/11/2021,"914.03","914.03","914.03","914.03"
08/10/2021,"915.39","915.39","915.39","915.39"
08/09/2021,"918.27","918.27","918.27","918.27"
08/06/2021,"905.17","905.17","905.17","905.17"
08/05/2021,"919.71","919.71","919.71","919.71"
08/04/2021,"910.75","910.75","910.75","910.75"
08/03/2021,"922.33","922.33","922.33","922.33"
08/02/2021,"920.06","920.06","920.06","920.06"
07/30/2021,"896.61","896.61","896.61","896.61"
07/29/2021,"889.48","889.48","889.48","889.48"
07/28/2021,"851.75","851.75","851.75","851.75"
07/27/2021,"848.37","848.37","848.37","848.37"
07/26/2021,"864.61","864.61","864.61","864.61"
07/23/2021,"847.17","847.17","847.17","847.17"
07/22/2021,"854.87","854.87","854.87","854.87"
07/21/2021,"865.20","865.20","865.20","865.20"
07/20/2021,"868.25","868.25","868.25","868.25"
07/19/2021,"846.23","846.23","846.23","846.23"
07/16/2021,"848.34","848.34","848.34","848.34"
07/15/2021,"859.87","859.87","859.87","859.87"
07/14/2021,"865.97","865.97","865.97","865.97"
07/13/2021,"883.96","883.96","883.96","883.96"
07/12/2021,"903.57","903.57","903.57","903.57"
07/09/2021,"872.44","872.44","872.44","872.44"
07/08/2021,"860.98","860.98","860.98","860.98"
07/07/2021,"854.55","854.55","854.55","854.55"
07/06/2021,"873.10","873.10","873.10","873.10"
07/05/2021,"898.31","898.31","898.31","898.31"
07/02/2021,"898.31","898.31","898.31","898.31"
07/01/2021,"897.48","897.48","897.48","897.48"
06/30/2021,"898.93","898.93","898.93","898.93"
06/29/2021,"900.31","900.31","900.31","900.31"
06/28/2021,"907.98","907.98","907.98","907.98"
06/25/2021,"894.78","894.78","894.78","894.78"
06/24/2021,"902.94","902.94","902.94","902.94"
06/23/2021,"879.39","879.39","879.39","879.39"
06/22/2021,"841.00","841.00","841.00","841.00"
06/21/2021,"837.40","837.40","837.40","837.40"
06/18/2021,"837.22","837.22","837.22","837.22"
06/17/2021,"834.00","834.00","834.00","834.00"
