DATE,WM2NS
8/26/1991,3339.1
9/2/1991,3343.9
9/9/1991,3370.4
9/16/1991,3360.9
9/23/1991,3332.5
9/30/1991,3325.4
10/7/1991,3363
10/14/1991,3363.3
10/21/1991,3356
10/28/1991,3337.8
11/4/1991,3361.2
11/11/1991,3375.1
11/18/1991,3375.3
11/25/1991,3359.5
12/2/1991,3377.4
12/9/1991,3393.6
12/16/1991,3395.4
12/23/1991,3380.5
12/30/1991,3376
1/6/1992,3398.6
1/13/1992,3396.6
1/20/1992,3383.5
1/27/1992,3364.7
2/3/1992,3375.6
2/10/1992,3396.2
2/17/1992,3393.7
2/24/1992,3383.3
3/2/1992,3390.7
3/9/1992,3415.9
3/16/1992,3413.7
3/23/1992,3395.9
3/30/1992,3393
4/6/1992,3434.1
4/13/1992,3443.2
4/20/1992,3430.3
4/27/1992,3385.9
5/4/1992,3392.8
5/11/1992,3397.9
5/18/1992,3391.9
5/25/1992,3370.3
6/1/1992,3383.8
6/8/1992,3409
6/15/1992,3406.1
6/22/1992,3376.7
6/29/1992,3361.7
7/6/1992,3407.1
7/13/1992,3407.3
7/20/1992,3392.1
7/27/1992,3373
8/3/1992,3389.7
8/10/1992,3408.7
8/17/1992,3403.7
8/24/1992,3384.4
8/31/1992,3386.3
9/7/1992,3416.3
9/14/1992,3419.6
9/21/1992,3396.1
9/28/1992,3376.3
10/5/1992,3413.8
10/12/1992,3428.2
10/19/1992,3423.1
10/26/1992,3403.5
11/2/1992,3421.8
11/9/1992,3444.5
11/16/1992,3444.1
11/23/1992,3417.5
11/30/1992,3426.5
12/7/1992,3450.6
12/14/1992,3448.5
12/21/1992,3435.4
12/28/1992,3430.5
1/4/1993,3455.2
1/11/1993,3456.1
1/18/1993,3431
1/25/1993,3394.8
2/1/1993,3385.9
2/8/1993,3407
2/15/1993,3405.7
2/22/1993,3395.9
3/1/1993,3396.7
3/8/1993,3422.7
3/15/1993,3418.1
3/22/1993,3403.3
3/29/1993,3396.3
4/5/1993,3438.6
4/12/1993,3456.1
4/19/1993,3438.7
4/26/1993,3399
5/3/1993,3412.1
5/10/1993,3434.4
5/17/1993,3431.5
5/24/1993,3408.1
5/31/1993,3425.4
6/7/1993,3462.1
6/14/1993,3459.7
6/21/1993,3432
6/28/1993,3408.4
7/5/1993,3450.7
7/12/1993,3462.6
7/19/1993,3444.4
7/26/1993,3418.6
8/2/1993,3434.2
8/9/1993,3458.9
8/16/1993,3453.2
8/23/1993,3429.1
8/30/1993,3419.7
9/6/1993,3458.3
9/13/1993,3467.2
9/20/1993,3443
9/27/1993,3412.4
10/4/1993,3449.1
10/11/1993,3466.5
10/18/1993,3460.9
10/25/1993,3430.5
11/1/1993,3448.6
11/8/1993,3479.2
11/15/1993,3485.9
11/22/1993,3466.3
11/29/1993,3466.1
12/6/1993,3498.5
12/13/1993,3501.9
12/20/1993,3492.4
12/27/1993,3485.9
1/3/1994,3502.8
1/10/1994,3512.7
1/17/1994,3496.9
1/24/1994,3459.2
1/31/1994,3437.4
2/7/1994,3469.1
2/14/1994,3467.3
2/21/1994,3454
2/28/1994,3448.3
3/7/1994,3485.2
3/14/1994,3487.7
3/21/1994,3476.1
3/28/1994,3458.9
4/4/1994,3507.2
4/11/1994,3529.6
4/18/1994,3516.9
4/25/1994,3474.9
5/2/1994,3469.4
5/9/1994,3489.7
5/16/1994,3483.7
5/23/1994,3462.4
5/30/1994,3459
6/6/1994,3497.1
6/13/1994,3494.4
6/20/1994,3473.5
6/27/1994,3450.5
7/4/1994,3489
7/11/1994,3512
7/18/1994,3496.2
7/25/1994,3471.5
8/1/1994,3479.9
8/8/1994,3499.4
8/15/1994,3493.4
8/22/1994,3476.8
8/29/1994,3458
9/5/1994,3489.8
9/12/1994,3499.4
9/19/1994,3479.8
9/26/1994,3448.5
10/3/1994,3466.2
10/10/1994,3494.3
10/17/1994,3492.5
10/24/1994,3462.9
10/31/1994,3461.2
11/7/1994,3493.7
11/14/1994,3498
11/21/1994,3491.4
11/28/1994,3484.9
12/5/1994,3510.1
12/12/1994,3513.5
12/19/1994,3505.5
12/26/1994,3498.4
1/2/1995,3508.3
1/9/1995,3528.1
1/16/1995,3513.7
1/23/1995,3481.7
1/30/1995,3455.3
2/6/1995,3485.2
2/13/1995,3480.4
2/20/1995,3469.9
2/27/1995,3463.2
3/6/1995,3492.8
3/13/1995,3499.4
3/20/1995,3492.8
3/27/1995,3479.8
4/3/1995,3504.1
4/10/1995,3543.8
4/17/1995,3544.1
4/24/1995,3508.9
5/1/1995,3490.5
5/8/1995,3510.3
5/15/1995,3508.8
5/22/1995,3503
5/29/1995,3500.3
6/5/1995,3549.4
6/12/1995,3560.4
6/19/1995,3547.7
6/26/1995,3521.7
7/3/1995,3553.5
7/10/1995,3587.6
7/17/1995,3574.1
7/24/1995,3555.8
7/31/1995,3560.1
8/7/1995,3596.8
8/14/1995,3593
8/21/1995,3585.5
8/28/1995,3568.2
9/4/1995,3597.3
9/11/1995,3617.9
9/18/1995,3600.8
9/25/1995,3569.6
10/2/1995,3581.6
10/9/1995,3618.6
10/16/1995,3616.9
10/23/1995,3591.6
10/30/1995,3582.9
11/6/1995,3623.9
11/13/1995,3625.5
11/20/1995,3623.9
11/27/1995,3618
12/4/1995,3638.8
12/11/1995,3655.1
12/18/1995,3650
12/25/1995,3648.7
1/1/1996,3661.5
1/8/1996,3682.6
1/15/1996,3680
1/22/1996,3640.9
1/29/1996,3608.3
2/5/1996,3642
2/12/1996,3647.3
2/19/1996,3647.5
2/26/1996,3642.4
3/4/1996,3683.3
3/11/1996,3694.1
3/18/1996,3699.2
3/25/1996,3679.7
4/1/1996,3702.9
4/8/1996,3748.3
4/15/1996,3753.2
4/22/1996,3716.7
4/29/1996,3666.2
5/6/1996,3698.7
5/13/1996,3697.8
5/20/1996,3688.9
5/27/1996,3671.5
6/3/1996,3711.6
6/10/1996,3737.6
6/17/1996,3734.9
6/24/1996,3696.4
7/1/1996,3715.4
7/8/1996,3754.2
7/15/1996,3742.4
7/22/1996,3726
7/29/1996,3712.4
8/5/1996,3751.8
8/12/1996,3751.8
8/19/1996,3744.2
8/26/1996,3723.5
9/2/1996,3734.3
9/9/1996,3776.3
9/16/1996,3760
9/23/1996,3720.2
9/30/1996,3719.3
10/7/1996,3765.4
10/14/1996,3768.1
10/21/1996,3761.1
10/28/1996,3742.8
11/4/1996,3780.9
11/11/1996,3795.7
11/18/1996,3800.8
11/25/1996,3783.6
12/2/1996,3816.3
12/9/1996,3840.3
12/16/1996,3839.2
12/23/1996,3841.7
12/30/1996,3836.3
1/6/1997,3874.1
1/13/1997,3861.2
1/20/1997,3841.2
1/27/1997,3804.4
2/3/1997,3820.8
2/10/1997,3842.8
2/17/1997,3839.8
2/24/1997,3823.1
3/3/1997,3847.2
3/10/1997,3879.7
3/17/1997,3877.9
3/24/1997,3858.1
3/31/1997,3878
4/7/1997,3930.6
4/14/1997,3934.1
4/21/1997,3920
4/28/1997,3856.7
5/5/1997,3870
5/12/1997,3871.5
5/19/1997,3866.3
5/26/1997,3858
6/2/1997,3884
6/9/1997,3918.6
6/16/1997,3912.5
6/23/1997,3878.9
6/30/1997,3886
7/7/1997,3946.3
7/14/1997,3928.6
7/21/1997,3910.1
7/28/1997,3893.1
8/4/1997,3940.2
8/11/1997,3954.9
8/18/1997,3958.2
8/25/1997,3939.5
9/1/1997,3957.2
9/8/1997,3988.1
9/15/1997,3979.6
9/22/1997,3944.9
9/29/1997,3930.4
10/6/1997,3986.7
10/13/1997,3984.5
10/20/1997,3984.1
10/27/1997,3955.4
11/3/1997,3991.4
11/10/1997,4015.2
11/17/1997,4018
11/24/1997,4003
12/1/1997,4032.4
12/8/1997,4053.3
12/15/1997,4051.2
12/22/1997,4054.1
12/29/1997,4055.4
1/5/1998,4100
1/12/1998,4082.5
1/19/1998,4064.6
1/26/1998,4028.7
2/2/1998,4041.3
2/9/1998,4078.1
2/16/1998,4081.5
2/23/1998,4077.1
3/2/1998,4101.2
3/9/1998,4141.9
3/16/1998,4142.2
3/23/1998,4119.2
3/30/1998,4118.8
4/6/1998,4194.6
4/13/1998,4208.4
4/20/1998,4197.5
4/27/1998,4127.3
5/4/1998,4139.5
5/11/1998,4146.6
5/18/1998,4143.6
5/25/1998,4125.3
6/1/1998,4156.3
6/8/1998,4193.3
6/15/1998,4192.9
6/22/1998,4159
6/29/1998,4145.3
7/6/1998,4224.6
7/13/1998,4202.6
7/20/1998,4188.4
7/27/1998,4165.8
8/3/1998,4201.4
8/10/1998,4232.6
8/17/1998,4226.4
8/24/1998,4206.2
8/31/1998,4213.2
9/7/1998,4274.9
9/14/1998,4278.5
9/21/1998,4252.2
9/28/1998,4214.6
10/5/1998,4279.3
10/12/1998,4290.1
10/19/1998,4299.9
10/26/1998,4280.3
11/2/1998,4306.8
11/9/1998,4348.7
11/16/1998,4355.6
11/23/1998,4333.5
11/30/1998,4348.6
12/7/1998,4394.8
12/14/1998,4397.2
12/21/1998,4401.5
12/28/1998,4397.7
1/4/1999,4439.6
1/11/1999,4432.7
1/18/1999,4421.3
1/25/1999,4374
2/1/1999,4384.7
2/8/1999,4420
2/15/1999,4422.9
2/22/1999,4414.3
3/1/1999,4423.5
3/8/1999,4464.2
3/15/1999,4459.6
3/22/1999,4448
3/29/1999,4443.8
4/5/1999,4520.1
4/12/1999,4524.6
4/19/1999,4529.4
4/26/1999,4466.9
5/3/1999,4449.3
5/10/1999,4471.1
5/17/1999,4465.3
5/24/1999,4445.9
5/31/1999,4467.6
6/7/1999,4514.1
6/14/1999,4511.6
6/21/1999,4491
6/28/1999,4463.4
7/5/1999,4523.4
7/12/1999,4537.2
7/19/1999,4517.7
7/26/1999,4498.5
8/2/1999,4519.8
8/9/1999,4555.8
8/16/1999,4553.5
8/23/1999,4527.6
8/30/1999,4517.1
9/6/1999,4572.9
9/13/1999,4576.2
9/20/1999,4558.3
9/27/1999,4513.5
10/4/1999,4566.9
10/11/1999,4579.7
10/18/1999,4584.5
10/25/1999,4555
11/1/1999,4576.8
11/8/1999,4609.1
11/15/1999,4616.7
11/22/1999,4603.8
11/29/1999,4606.4
12/6/1999,4649
12/13/1999,4655.5
12/20/1999,4667.7
12/27/1999,4668.1
1/3/2000,4697.4
1/10/2000,4699.2
1/17/2000,4688.2
1/24/2000,4652
1/31/2000,4634.7
2/7/2000,4684.6
2/14/2000,4675.3
2/21/2000,4668.5
2/28/2000,4666.4
3/6/2000,4722.6
3/13/2000,4731.4
3/20/2000,4744.2
3/27/2000,4727
4/3/2000,4783.4
4/10/2000,4831.1
4/17/2000,4842.8
4/24/2000,4800.6
5/1/2000,4738
5/8/2000,4738.1
5/15/2000,4739.6
5/22/2000,4723.6
5/29/2000,4719.9
6/5/2000,4777.3
6/12/2000,4776.7
6/19/2000,4762.5
6/26/2000,4721.5
7/3/2000,4764.4
7/10/2000,4796.6
7/17/2000,4776.1
7/24/2000,4754.9
7/31/2000,4758.5
8/7/2000,4814.3
8/14/2000,4806.2
8/21/2000,4807.7
8/28/2000,4792.7
9/4/2000,4839.2
9/11/2000,4861.8
9/18/2000,4851.8
9/25/2000,4802.4
10/2/2000,4833.2
10/9/2000,4866.9
10/16/2000,4872.8
10/23/2000,4842.1
10/30/2000,4828.9
11/6/2000,4880.8
11/13/2000,4880.4
11/20/2000,4880.4
11/27/2000,4883.5
12/4/2000,4919.3
12/11/2000,4932.4
12/18/2000,4947.8
12/25/2000,4955.6
1/1/2001,4984.5
1/8/2001,5008.5
1/15/2001,5004
1/22/2001,4976.1
1/29/2001,4929.9
2/5/2001,4990.4
2/12/2001,4998.1
2/19/2001,5007
2/26/2001,5010.3
3/5/2001,5079.2
3/12/2001,5091.2
3/19/2001,5096.1
3/26/2001,5086.7
4/2/2001,5139.2
4/9/2001,5195.5
4/16/2001,5222.9
4/23/2001,5173
4/30/2001,5101.3
5/7/2001,5120
5/14/2001,5114.4
5/21/2001,5109.4
5/28/2001,5090
6/4/2001,5164.6
6/11/2001,5170.2
6/18/2001,5176.6
6/25/2001,5122.4
7/2/2001,5163.5
7/9/2001,5206.4
7/16/2001,5201
7/23/2001,5170.1
7/30/2001,5168.2
8/6/2001,5231.5
8/13/2001,5230.4
8/20/2001,5226.7
8/27/2001,5205.2
9/3/2001,5248.6
9/10/2001,5294.7
9/17/2001,5456.2
9/24/2001,5317.5
10/1/2001,5300.1
10/8/2001,5333.9
10/15/2001,5335.8
10/22/2001,5310.6
10/29/2001,5295.2
11/5/2001,5368.9
11/12/2001,5375.4
11/19/2001,5387.5
11/26/2001,5381.9
12/3/2001,5417.9
12/10/2001,5454.8
12/17/2001,5477
12/24/2001,5454.9
12/31/2001,5473.4
1/7/2002,5498.3
1/14/2002,5475.6
1/21/2002,5442.9
1/28/2002,5400
2/4/2002,5452.9
2/11/2002,5465.8
2/18/2002,5473.7
2/25/2002,5460.1
3/4/2002,5510.3
3/11/2002,5523.6
3/18/2002,5525.5
3/25/2002,5484.8
4/1/2002,5533
4/8/2002,5560.3
4/15/2002,5576.1
4/22/2002,5533.2
4/29/2002,5461.7
5/6/2002,5501.7
5/13/2002,5503.6
5/20/2002,5503.7
5/27/2002,5483.5
6/3/2002,5518.6
6/10/2002,5546.5
6/17/2002,5560.2
6/24/2002,5507.8
7/1/2002,5538.8
7/8/2002,5588.6
7/15/2002,5585.4
7/22/2002,5565.2
7/29/2002,5564.8
8/5/2002,5630.4
8/12/2002,5627.3
8/19/2002,5625
8/26/2002,5594.6
9/2/2002,5626.8
9/9/2002,5675
9/16/2002,5675.2
9/23/2002,5613.5
9/30/2002,5617.1
10/7/2002,5682.5
10/14/2002,5695
10/21/2002,5689.8
10/28/2002,5667.1
11/4/2002,5736.2
11/11/2002,5750
11/18/2002,5771.8
11/25/2002,5727.6
12/2/2002,5785.2
12/9/2002,5796.7
12/16/2002,5816.1
12/23/2002,5800.1
12/30/2002,5795.4
1/6/2003,5837.3
1/13/2003,5814.7
1/20/2003,5799.2
1/27/2003,5747.2
2/3/2003,5774.7
2/10/2003,5818.2
2/17/2003,5848.6
2/24/2003,5798.8
3/3/2003,5844.2
3/10/2003,5883.9
3/17/2003,5900.9
3/24/2003,5855.2
3/31/2003,5882.9
4/7/2003,5954.9
4/14/2003,5964.1
4/21/2003,5947.8
4/28/2003,5889.2
5/5/2003,5951
5/12/2003,5944.4
5/19/2003,5935
5/26/2003,5908.3
6/2/2003,5956
6/9/2003,5994.2
6/16/2003,6021.6
6/23/2003,5965.2
