DATE,GDP
1/1/1990,5872.701
4/1/1990,5960.028
7/1/1990,6015.116
10/1/1990,6004.733
1/1/1991,6035.178
4/1/1991,6126.862
7/1/1991,6205.937
10/1/1991,6264.54
1/1/1992,6363.102
4/1/1992,6470.763
7/1/1992,6566.641
10/1/1992,6680.803
1/1/1993,6729.459
4/1/1993,6808.939
7/1/1993,6882.098
10/1/1993,7013.738
1/1/1994,7115.652
4/1/1994,7246.931
7/1/1994,7331.075
10/1/1994,7455.288
1/1/1995,7522.289
4/1/1995,7580.997
7/1/1995,7683.125
10/1/1995,7772.586
1/1/1996,7868.468
4/1/1996,8032.84
7/1/1996,8131.408
10/1/1996,8259.771
1/1/1997,8362.655
4/1/1997,8518.825
7/1/1997,8662.823
10/1/1997,8765.907
1/1/1998,8866.48
4/1/1998,8969.699
7/1/1998,9121.097
10/1/1998,9293.991
1/1/1999,9411.682
4/1/1999,9526.21
7/1/1999,9686.626
10/1/1999,9900.169
1/1/2000,10002.179
4/1/2000,10247.72
7/1/2000,10318.165
10/1/2000,10435.744
1/1/2001,10470.231
4/1/2001,10599
7/1/2001,10598.02
10/1/2001,10660.465
1/1/2002,10783.5
4/1/2002,10887.46
7/1/2002,10984.04
10/1/2002,11061.433
1/1/2003,11174.129
4/1/2003,11312.766
7/1/2003,11566.669
10/1/2003,11772.234
1/1/2004,11923.447
4/1/2004,12112.815
7/1/2004,12305.307
10/1/2004,12527.214
1/1/2005,12767.286
4/1/2005,12922.656
7/1/2005,13142.642
10/1/2005,13324.204
1/1/2006,13599.16
4/1/2006,13753.424
7/1/2006,13870.188
10/1/2006,14039.56
1/1/2007,14215.651
4/1/2007,14402.082
7/1/2007,14564.117
10/1/2007,14715.058
1/1/2008,14706.538
4/1/2008,14865.701
7/1/2008,14898.999
10/1/2008,14608.208
1/1/2009,14430.901
4/1/2009,14381.236
7/1/2009,14448.882
10/1/2009,14651.248
1/1/2010,14764.611
4/1/2010,14980.193
7/1/2010,15141.605
10/1/2010,15309.471
1/1/2011,15351.444
4/1/2011,15557.535
7/1/2011,15647.681
10/1/2011,15842.267
1/1/2012,16068.824
4/1/2012,16207.13
7/1/2012,16319.54
10/1/2012,16420.386
1/1/2013,16629.05
4/1/2013,16699.551
7/1/2013,16911.068
10/1/2013,17133.114
1/1/2014,17144.281
4/1/2014,17462.703
7/1/2014,17743.227
10/1/2014,17852.54
1/1/2015,17991.348
4/1/2015,18193.707
7/1/2015,18306.96
10/1/2015,18332.079
1/1/2016,18425.306
4/1/2016,18611.617
7/1/2016,18775.459
10/1/2016,18968.041
1/1/2017,19153.912
4/1/2017,19322.92
7/1/2017,19558.693
10/1/2017,19882.965
1/1/2018,20143.716
4/1/2018,20492.492
7/1/2018,20659.102
10/1/2018,20813.325
1/1/2019,21001.591
4/1/2019,21289.268
7/1/2019,21505.012
10/1/2019,21694.458
1/1/2020,21481.367
4/1/2020,19477.444
7/1/2020,21138.574
10/1/2020,21477.597
1/1/2021,22038.226
4/1/2021,22740.959
7/1/2021,23202.344
10/1/2021,24002.815
1/1/2022,
4/1/2022,
7/1/2022,
