,date,numTweets,replies_count,replies_average,retweets_count,retweets_average,likes_count,likes_average
107,2022-01-11,3,5866,1955.333333,3194,1064.666667,46349,15449.66667
108,2022-01-10,3,18284,6094.666667,17836,5945.333333,178898,59632.66667
109,2022-01-09,1,20541,20541,28875,28875,291881,291881
110,2022-01-08,7,21294,3042,10819,1545.571429,176288,25184
111,2022-01-07,2,14042,7021,11342,5671,147959,73979.5
112,2022-01-06,2,39051,19525.5,21663,10831.5,296143,148071.5
113,2022-01-05,4,6622,1655.5,4751,1187.75,113605,28401.25
114,2022-01-04,5,31749,6349.8,42409,8481.8,490126,98025.2
115,2022-01-03,4,28249,7062.25,53097,13274.25,504055,126013.75
116,2022-01-02,2,28130,14065,31410,15705,386606,193303
117,2022-01-01,2,1401,700.5,623,311.5,49831,24915.5
118,2021-12-31,3,2041,680.3333333,942,314,28206,9402
119,2021-12-30,7,38543,5506.142857,93072,13296,760969,108709.8571
120,2021-12-29,7,13648,1949.714286,9888,1412.571429,135432,19347.42857
121,2021-12-28,1,1047,1047,875,875,10687,10687
122,2021-12-27,9,22232,2470.222222,18269,2029.888889,275323,30591.44444
123,2021-12-26,10,78296,7829.6,100151,10015.1,1476415,147641.5
124,2021-12-25,5,9083,1816.6,4689,937.8,60504,12100.8
125,2021-12-24,7,14342,2048.857143,10318,1474,200047,28578.14286
126,2021-12-23,13,34075,2621.153846,24999,1923,401852,30911.69231
127,2021-12-22,6,3163,527.1666667,2211,368.5,41567,6927.833333
128,2021-12-21,11,49836,4530.545455,29141,2649.181818,496325,45120.45455
129,2021-12-20,14,76173,5440.928571,76901,5492.928571,880155,62868.21429
130,2021-12-19,9,30331,3370.111111,95328,10592,626641,69626.77778
131,2021-12-18,18,38073,2115.166667,56384,3132.444444,678066,37670.33333
132,2021-12-17,17,11065,650.8823529,10573,621.9411765,191122,11242.47059
133,2021-12-16,16,46800,2925,69786,4361.625,868917,54307.3125
134,2021-12-15,15,31998,2133.2,66612,4440.8,721655,48110.33333
135,2021-12-14,16,85727,5357.9375,94313,5894.5625,980347,61271.6875
136,2021-12-13,9,24112,2679.111111,50797,5644.111111,777387,86376.33333
137,2021-12-12,17,44196,2599.764706,40309,2371.117647,706081,41534.17647
138,2021-12-11,13,15403,1184.846154,6956,535.0769231,199422,15340.15385
139,2021-12-10,19,100981,5314.789474,81556,4292.421053,1191271,62698.47368
140,2021-12-09,14,30989,2213.5,55937,3995.5,513966,36711.85714
141,2021-12-08,13,23444,1803.384615,71415,5493.461538,751110,57777.69231
142,2021-12-07,15,23968,1597.866667,16805,1120.333333,341933,22795.53333
143,2021-12-06,2,13476,6738,10549,5274.5,114889,57444.5
144,2021-12-05,4,6076,1519,5072,1268,54050,13512.5
145,2021-12-04,8,57163,7145.375,63056,7882,852867,106608.375
146,2021-12-03,16,30002,1875.125,25486,1592.875,427718,26732.375
147,2021-12-02,9,44092,4899.111111,49393,5488.111111,484299,53811
148,2021-12-01,17,70229,4131.117647,75810,4459.411765,1027105,60417.94118
149,2021-11-30,15,75092,5006.133333,31867,2124.466667,590973,39398.2
150,2021-11-29,4,7102,1775.5,26160,6540,179592,44898
151,2021-11-28,2,2022,1011,1123,561.5,51328,25664
152,2021-11-27,9,5537,615.2222222,5228,580.8888889,111455,12383.88889
153,2021-11-26,8,5103,637.875,4511,563.875,95924,11990.5
154,2021-11-25,11,54300,4936.363636,42892,3899.272727,635882,57807.45455
155,2021-11-24,10,11898,1189.8,11475,1147.5,159317,15931.7
156,2021-11-23,24,29636,1234.833333,21825,909.375,343113,14296.375
157,2021-11-22,20,66819,3340.95,45936,2296.8,820739,41036.95
158,2021-11-21,9,6458,717.5555556,4253,472.5555556,110064,12229.33333
159,2021-11-20,12,41441,3453.416667,49769,4147.416667,616091,51340.91667
160,2021-11-19,18,35586,1977,27324,1518,398035,22113.05556
161,2021-11-18,13,50523,3886.384615,37640,2895.384615,462026,35540.46154
162,2021-11-17,6,23381,3896.833333,27630,4605,388119,64686.5
163,2021-11-16,5,5555,1111,3776,755.2,78805,15761
