time,open,high,low,close,Volume,Volume MA,HV
1618925400,717.42,737.25,710.685,718.99,35609038,33489239.4,66.93456681
1619011800,704.77,744.84,698,744.12,31215514,33525421.6,65.1137863
1619098200,741.5,753.77,718.04,719.69,35590255,33615175.65,69.36069729
1619184600,719.8,737.36,715.46,729.4,28413889,33074627.6,68.79704864
1619443800,741,749.3,732.6053,738.2,31038502,32933911.35,66.46371732
1619530200,717.96,724,703.3501,704.74,29436995,32973911.85,50.87299209
1619616600,696.41,708.5,693.6,694.4,22271047,32115846.25,46.88571142
1619703000,699.51,702.25,668.5002,677,28845449,31891254.3,47.19641141
1619789400,667.59,715.47,666.14,709.44,40758722,32164271.5,56.93396831
1620048600,703.8,706,680.5,684.9,27043143,31424290.3,57.05482382
1620135000,678.94,683.4464,657.701,673.6,29739319,31497664.3,57.03909207
1620221400,681.06,685.2955,667.34,670.94,21901894,31277287.35,50.91587306
1620307800,680.76,681.02,650,663.54,27784619,31470301.85,48.79454832
1620394200,665.8,690,660.22,672.37,23469172,31571906.1,48.76533567
1620653400,664.9,665.05,627.6101,629.04,31392417,31684743.45,57.03082814
1620739800,599.24,627.0999,595.6,617.2,46503896,31777297.85,53.77237727
1620826200,602.49,620.41,586.765,589.89,33823646,31017608.45,56.83602999
1620912600,601.545,606.4599,559.65,571.69,44184916,31834409.25,57.2841197
1620999000,583.41,592.87,570.46,589.74,33370856,32103975.75,51.29836554
1621258200,575.5531,589.73,561.2,576.83,32390360,31739182.45,50.28001609
1621344600,568,596.25,563.38,577.87,36830567,31800258.9,51.44870864
1621431000,552.55,566.21,546.98,563.46,39578395,32218402.95,51.17772742
1621517400,575,588.85,571.07,586.78,30821119,31979946.15,61.11772087
1621603800,596.11,596.68,580,580.88,26030595,31860781.45,58.98873527
1621863000,581.6,614.48,573.65,606.44,34558089,32036760.8,57.17364529
1621949400,607.31,613.99,595.71,604.69,28005933,31965207.7,56.33511051
1622035800,607.56,626.17,601.5,619.13,28639305,32283620.6,50.58859361
1622122200,620.24,631.13,616.21,630.85,26370593,32159877.8,45.39368726
1622208600,628.5,635.59,622.38,625.22,22737038,31258793.6,44.34611227
1622554200,627.8,633.8,620.55,623.9,18084890,30810880.95,41.10197727
1622640600,620.13,623.36,599.14,605.12,23302779,30489053.95,46.65016264
1622727000,601.8,604.55,571.22,572.84,30111893,30899553.9,55.74898677
1622813400,579.71,600.61,577.2,599.05,24036896,30712167.75,56.85554074
1623072600,591.825,610,582.88,605.13,22543682,30665893.25,56.45418136
1623159000,623.01,623.09,595.5,603.59,26053405,30398942.65,50.72346143
1623245400,602.17,611.79,597.6301,598.78,16584566,28902976.15,50.89671464
1623331800,603.88,616.59,600.5,610.12,23919606,28407774.15,50.11337217
1623418200,610.23,612.56,601.52,609.89,16205303,27008793.5,48.46868552
1623677400,612.23,625.49,609.18,617.69,20423983,26361449.85,49.14408735
1623763800,616.69,616.79,598.23,599.36,17764145,25630139.1,51.87797287
1623850200,597.535,608.5,593.5,604.87,22144127,24895817.1,49.39337193
1623936600,601.8878,621.47,601.34,616.6,22701350,24051964.85,35.77211869
1624023000,613.37,628.35,611.8,623.31,24560905,23738954.15,27.05753431
1624282200,624.48,631.39,608.88,620.83,24812741,23678061.45,27.09738093
1624368600,618.25,628.5693,615.5,623.71,19158892,22908101.6,26.91501903
1624455000,632,657.204,630.04,656.57,31099228,23062766.35,37.31838684
1624541400,674.99,697.62,667.61,679.82,45982386,23929920.4,39.86139289
1624627800,689.58,693.81,668.7,671.87,32496707,24236226.1,41.52787462
1624887000,671.64,694.6999,670.32,688.72,21628159,24180782.15,42.41499801
1624973400,684.65,687.5099,675.89,680.76,17381313,24145603.3,36.84624079
1625059800,679.77,692.81,678.14,679.7,18924862,23926707.45,37.72715178
1625146200,683.92,687.99,672.8,677.92,18634522,23352838.9,38.20562957
1625232600,678.98,700,673.26,678.9,27097374,23505862.8,38.46263268
1625578200,681.7115,684,651.4002,659.58,23284450,23542901.2,43.70798856
1625664600,664.27,665.7,638.32,644.65,18791960,23179828.95,46.77508797
