"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 09, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 08, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 27, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 26, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 25, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 24, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 23, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 20, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 19, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 18, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 17, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","-1.00%"
"Sep 16, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 12, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 11, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 10, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 09, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 06, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 05, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","-2.91%"
"Sep 04, 2019","51,500.00","51,500.00","53,000.00","50,000.00","-","0.00%"
"Sep 03, 2019","51,500.00","51,500.00","53,000.00","50,000.00","-","-0.96%"
"Sep 02, 2019","52,000.00","52,000.00","53,500.00","50,500.00","-","0.00%"
"Aug 30, 2019","52,000.00","52,000.00","53,500.00","50,500.00","-","-1.89%"
"Aug 29, 2019","53,000.00","53,000.00","54,500.00","51,500.00","-","0.00%"
"Aug 28, 2019","53,000.00","53,000.00","54,500.00","51,500.00","-","0.00%"
"Aug 27, 2019","53,000.00","53,000.00","54,500.00","51,500.00","-","-0.93%"
"Aug 26, 2019","53,500.00","53,500.00","55,000.00","52,000.00","-","-1.83%"
"Aug 23, 2019","54,500.00","54,500.00","56,000.00","53,000.00","-","-1.80%"
"Aug 22, 2019","55,500.00","55,500.00","57,000.00","54,000.00","-","-1.77%"
"Aug 21, 2019","56,500.00","56,500.00","58,000.00","55,000.00","-","0.00%"
"Aug 20, 2019","56,500.00","56,500.00","58,000.00","55,000.00","-","0.00%"
"Aug 19, 2019","56,500.00","56,500.00","58,000.00","55,000.00","-","-0.88%"
"Aug 16, 2019","57,000.00","57,000.00","58,500.00","55,500.00","-","0.00%"
"Aug 15, 2019","57,000.00","57,000.00","58,500.00","55,500.00","-","-1.72%"
"Aug 14, 2019","58,000.00","58,000.00","59,500.00","56,500.00","-","0.00%"
"Aug 13, 2019","58,000.00","58,000.00","59,500.00","56,500.00","-","-0.85%"
"Aug 12, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 09, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 08, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 07, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 06, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","-0.85%"
"Aug 05, 2019","59,000.00","59,000.00","60,500.00","57,500.00","-","-0.84%"
"Aug 02, 2019","59,500.00","59,500.00","61,000.00","58,000.00","-","-1.65%"
"Aug 01, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","0.00%"
"Jul 31, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","0.00%"
"Jul 30, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","0.00%"
"Jul 29, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","-1.63%"
"Jul 26, 2019","61,500.00","61,500.00","63,000.00","60,000.00","-","-1.60%"
"Jul 25, 2019","62,500.00","62,500.00","64,000.00","61,000.00","-","0.00%"
"Jul 24, 2019","62,500.00","62,500.00","64,000.00","61,000.00","-","0.00%"
"Jul 23, 2019","62,500.00","62,500.00","64,000.00","61,000.00","-","-0.79%"
"Jul 22, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 19, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 18, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 17, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 16, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 15, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 12, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 11, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 10, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","-0.79%"
"Jul 09, 2019","63,500.00","63,500.00","65,000.00","62,000.00","-","0.00%"
"Jul 08, 2019","63,500.00","63,500.00","65,000.00","62,000.00","-","0.00%"
"Jul 05, 2019","63,500.00","63,500.00","65,000.00","62,000.00","-","-0.78%"
"Jul 04, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","0.00%"
"Jul 03, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","0.00%"
"Jul 02, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","0.00%"
"Jul 01, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","-1.54%"
"Jun 28, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Jun 27, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Jun 26, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Jun 25, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","-1.52%"
"Jun 24, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 21, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 20, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 19, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 18, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 17, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 14, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","-0.75%"
"Jun 13, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 12, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 11, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 10, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 06, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 05, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 04, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 03, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 31, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 30, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 29, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 28, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 27, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 24, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 23, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 22, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 21, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 20, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 17, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 16, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 15, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 14, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.76%"
"May 13, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"May 10, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"May 09, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"May 08, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
