Date,Price,Open,High,Low,Change %
16-Jan-20,"38,500.00","38,500.00","40,000.00","37,000.00",0
15-Jan-20,"38,500.00","38,500.00","40,000.00","37,000.00",0
14-Jan-20,"38,500.00","38,500.00","40,000.00","37,000.00",0
13-Jan-20,"38,500.00","38,500.00","40,000.00","37,000.00",0
10-Jan-20,"38,500.00","38,500.00","40,000.00","37,000.00",-0.0253
9-Jan-20,"39,500.00","39,500.00","41,000.00","38,000.00",0
8-Jan-20,"39,500.00","39,500.00","41,000.00","38,000.00",0
7-Jan-20,"39,500.00","39,500.00","41,000.00","38,000.00",0
6-Jan-20,"39,500.00","39,500.00","41,000.00","38,000.00",0
3-Jan-20,"39,500.00","39,500.00","41,000.00","38,000.00",0
2-Jan-20,"39,500.00","39,500.00","41,000.00","38,000.00",0
31-Dec-19,"39,500.00","39,500.00","41,000.00","38,000.00",0
30-Dec-19,"39,500.00","39,500.00","41,000.00","38,000.00",0
27-Dec-19,"39,500.00","39,500.00","41,000.00","38,000.00",-0.0247
26-Dec-19,"40,500.00","40,500.00","42,000.00","39,000.00",0
25-Dec-19,"40,500.00","40,500.00","42,000.00","39,000.00",0
24-Dec-19,"40,500.00","40,500.00","42,000.00","39,000.00",-0.0241
23-Dec-19,"41,500.00","41,500.00","43,000.00","40,000.00",0
20-Dec-19,"41,500.00","41,500.00","43,000.00","40,000.00",0
19-Dec-19,"41,500.00","41,500.00","43,000.00","40,000.00",0
18-Dec-19,"41,500.00","41,500.00","43,000.00","40,000.00",0
17-Dec-19,"41,500.00","41,500.00","43,000.00","40,000.00",-0.0119
16-Dec-19,"42,000.00","42,000.00","43,500.00","40,500.00",0
13-Dec-19,"42,000.00","42,000.00","43,500.00","40,500.00",-0.0118
12-Dec-19,"42,500.00","42,500.00","44,000.00","41,000.00",0
11-Dec-19,"42,500.00","42,500.00","44,000.00","41,000.00",0
10-Dec-19,"42,500.00","42,500.00","44,000.00","41,000.00",-0.0116
9-Dec-19,"43,000.00","43,000.00","44,500.00","41,500.00",-0.0115
6-Dec-19,"43,500.00","43,500.00","45,000.00","42,000.00",-0.0114
5-Dec-19,"44,000.00","44,000.00","45,500.00","42,500.00",-0.0112
4-Dec-19,"44,500.00","44,500.00","46,000.00","43,000.00",-0.0111
3-Dec-19,"45,000.00","45,000.00","46,500.00","43,500.00",-0.0217
2-Dec-19,"46,000.00","46,000.00","47,500.00","44,500.00",0
29-Nov-19,"46,000.00","46,000.00","47,500.00","44,500.00",-0.0108
28-Nov-19,"46,500.00","46,500.00","48,000.00","45,000.00",0
27-Nov-19,"46,500.00","46,500.00","48,000.00","45,000.00",0
26-Nov-19,"46,500.00","46,500.00","48,000.00","45,000.00",0
