Date,current,pred,actual
2018-08-02,69.908,59.707470676958366,60.63
2018-08-03,69.634,60.425341932180004,60.332
2018-08-06,68.398,53.59256904330496,57.79
2018-08-07,75.914,56.953020121360055,56.148
2018-08-08,74.068,59.87222097608833,56.19
2018-08-09,70.49,53.99480732543461,52.648
2018-08-10,71.098,57.013089895648704,57.1
2018-08-13,71.282,57.08894036200769,55.888
2018-08-14,69.528,57.12679080091897,58.108
2018-08-15,67.738,62.919049981776936,57.892
2018-08-16,67.09,64.64919354937572,59.04
2018-08-17,61.1,62.768691582464584,58.968
2018-08-20,61.688,57.881014292043574,56.992
2018-08-21,64.38,60.276261351069536,59.804
2018-08-22,64.328,61.45619032635307,59.666
2018-08-23,64.02,61.403296527224086,59.82
2018-08-24,64.564,59.471569828477726,59.936
2018-08-27,63.854,59.52804419240158,60.198
2018-08-28,62.372,59.477783022153915,61.916
2018-08-29,61.002,57.69172466249043,61.504
2018-08-30,60.63,56.13111385334591,52.954
2018-08-31,60.332,58.82162480088857,62.14
2018-09-04,57.79,57.391537746812105,60.204
2018-09-05,56.148,56.909637519235304,58.96
2018-09-06,56.19,56.56306294670566,56.366
2018-09-07,52.648,53.82515570380386,52.39
2018-09-10,57.1,51.65109750694026,50.112
2018-09-11,55.888,54.40008137464778,52.56
2018-09-12,58.108,51.53820712926739,51.376
2018-09-13,57.892,54.05546188853873,50.446
2018-09-14,59.04,51.16614246946918,51.756
2018-09-17,58.968,53.83087953143598,51.918
2018-09-18,56.992,54.33571756981672,55.318
2018-09-19,59.804,52.3569026060664,54.356
2018-09-20,59.666,53.57204885018291,52.782
2018-09-21,59.82,54.45938538566304,52.0
2018-09-24,59.936,54.462798492231684,52.19
2018-09-25,60.198,57.425510533879304,58.828
2018-09-26,61.916,59.132984171059206,57.7
2018-09-27,61.504,64.09088490709814,62.972
2018-09-28,52.954,77.47343774629226,66.18
2018-10-01,62.14,65.10248984210438,66.97
2018-10-02,60.204,66.47830676820217,65.98
2018-10-03,58.96,65.33242846652743,67.464
2018-10-04,56.366,69.4930123067046,68.856
2018-10-05,52.39,69.43956778135654,69.282
2018-10-08,50.112,69.56499871952926,68.28
2018-10-09,52.56,68.44128238726049,68.212
2018-10-10,51.376,68.92157157444015,69.632
2018-10-11,50.446,69.1832578405552,70.28
2018-10-12,51.756,69.9611579124223,70.102
2018-10-15,51.918,68.62131414484136,66.256
2018-10-16,55.318,66.15900514338412,67.746
2018-10-17,54.356,68.4205623456337,68.8
2018-10-18,52.782,69.9189510466039,69.688
2018-10-19,52.0,70.47808060628378,70.862
2018-10-22,52.19,67.05649339968511,70.694
2018-10-23,58.828,60.66489148304032,69.498
2018-10-24,57.7,63.641530993182215,67.638
2018-10-25,62.972,64.79372498631318,65.166
2018-10-26,66.18,62.46294738356738,69.2
2018-10-29,66.97,67.53539585668514,68.784
2018-10-30,65.98,69.54853383633463,69.574
2018-10-31,67.464,71.65296836264932,68.234
2018-11-01,68.856,69.86593344619376,70.096
2018-11-02,69.282,70.21962825516502,71.698
2018-11-05,68.28,70.81300315999869,71.94
2018-11-06,68.212,70.65310219407618,72.612
2018-11-07,69.632,70.74585171838055,71.593
2018-11-08,70.28,67.81482353070518,73.03
2018-11-09,70.102,71.00604483346106,73.352
2018-11-12,66.256,71.06898477862171,73.32
2018-11-13,67.746,73.27457277904077,75.358
2018-11-14,68.8,73.14487067976063,73.142
2018-11-15,69.688,71.41477732607302,69.684
2018-11-16,70.862,68.24353601555902,67.406
2018-11-19,70.694,67.24126718476359,66.594
2018-11-20,69.498,64.60731322018148,63.076
2018-11-21,67.638,62.858751942348874,63.954
2018-11-23,65.166,61.723162379699744,59.078
2018-11-26,69.2,65.63441353544266,65.218
2018-11-27,68.784,65.23554100686218,63.226
2018-11-28,69.574,64.86106570513721,66.774
2018-11-29,68.234,61.64255692439127,66.56
2018-11-30,70.096,63.89936773111083,62.024
2018-12-03,71.698,61.1581850758011,60.072
2018-12-04,71.94,63.88020285626541,63.538
2018-12-06,72.612,64.74729785265032,66.992
2018-12-07,71.593,66.54033172646953,67.07
2018-12-10,73.03,64.80412160385742,67.706
2018-12-11,73.352,70.05625618596514,68.994
2018-12-12,73.32,71.19514158946919,69.452
2018-12-13,75.358,66.45974162722544,66.88
2018-12-14,73.142,69.26207299734213,68.886
2018-12-17,69.684,71.87220942204473,69.21
2018-12-18,67.406,65.29620407940453,69.462
2018-12-19,66.594,63.14810549502016,60.452
2018-12-20,63.076,58.78362955204423,59.784
2018-12-21,63.954,58.479756841653966,57.518
2018-12-24,59.078,59.047832630625294,58.302
2018-12-26,65.218,59.53039962366168,59.408
2018-12-27,63.226,58.67383847392128,59.276
2018-12-28,66.774,59.59430339299632,59.492
2018-12-31,66.56,62.385903643760656,61.754
2019-01-02,62.024,61.65039172277963,61.404
2019-01-03,60.072,61.799700311244294,62.442
2019-01-04,63.538,61.82068754599325,62.578
2019-01-07,66.992,62.93585184173409,64.27
2019-01-08,67.07,62.275587588538116,63.444
2019-01-09,67.706,61.69356799624276,61.502
2019-01-10,68.994,60.856319419674946,61.16
2019-01-11,69.452,61.77727707676257,62.568
2019-01-14,66.88,61.765909457030375,62.362
2019-01-15,68.886,62.43949890819704,61.634
2019-01-16,69.21,60.86974825927851,60.754
2019-01-17,69.462,59.93043576743841,61.576
2019-01-18,60.452,60.348623335286504,61.128
2019-01-22,59.784,60.37087782839549,60.512
2019-01-23,57.518,59.42321254493157,58.246
2019-01-24,58.302,58.33880938922704,58.942
2019-01-25,59.408,59.43169389544096,59.754
2019-01-28,59.276,60.18330962922852,59.572
2019-01-29,59.492,62.52253598995895,62.948
2019-01-30,61.754,61.83034116839937,63.976
2019-01-31,61.404,59.920080589515834,58.958
2019-02-01,62.442,58.0819047729143,57.072
2019-02-04,62.578,56.386486782682454,55.308
2019-02-05,64.27,56.62500532223794,55.248
2019-02-06,63.444,56.900818778203245,55.318
2019-02-07,61.502,56.88179797855639,56.828
2019-02-08,61.16,58.462428601779806,58.184
2019-02-11,62.568,58.374900092588916,56.672
2019-02-12,62.362,59.085013630361175,57.792
2019-02-13,61.634,57.67128305720351,57.992
2019-02-14,60.754,56.97305887352809,55.086
2019-02-15,61.576,55.44063685700141,53.898
2019-02-19,61.128,57.95906645750583,53.494
2019-02-20,60.512,54.8873339325377,54.72
2019-02-21,58.246,55.93856901048446,54.804
2019-02-22,58.942,56.427603760548806,52.906
2019-02-25,59.754,52.74825514907354,52.084
2019-02-26,59.572,51.44085160796919,53.554
2019-02-27,62.948,55.04925539939106,54.966
2019-02-28,63.976,55.20236752531039,55.724
2019-03-01,58.958,55.348532558300775,55.972
2019-03-04,57.072,56.820506132939244,57.836
2019-03-05,55.308,55.820115640836406,57.176
2019-03-06,55.248,56.068728207118596,58.362
2019-03-07,55.318,55.87741598482427,53.556
2019-03-08,56.828,56.27636527615746,54.992
2019-03-11,58.184,55.67312426935112,54.64
2019-03-12,56.672,55.489552302933475,54.462
2019-03-13,57.792,54.22592440357107,55.212
2019-03-14,57.992,53.0897936221925,53.684
2019-03-15,55.086,53.63828136568068,53.54
2019-03-18,53.898,52.07666867357767,53.276
2019-03-19,53.494,53.42809344413931,54.672
2019-03-20,54.72,52.45647061875991,54.246
2019-03-21,54.804,51.542637577161656,54.652
2019-03-22,52.906,49.87426380953235,52.55
2019-03-25,52.084,51.6189137162788,52.78
2019-03-26,53.554,50.445709105394315,51.732
2019-03-27,54.966,49.35822207078226,49.526
2019-03-28,55.724,49.08341837598675,47.028
2019-03-29,55.972,46.9062239275988,48.294
2019-04-01,57.836,48.73900594283171,47.738
2019-04-02,57.176,49.356343354387974,46.802
2019-04-03,58.362,49.35181848738296,48.82
2019-04-04,53.556,49.40538796524916,51.006
2019-04-05,54.992,48.03174563205209,51.068
2019-04-08,54.64,50.263101534687195,49.412
2019-04-09,54.462,48.801417706069145,48.968
2019-04-10,55.212,50.11628726118499,48.396
2019-04-11,53.684,46.832110884738995,47.904
2019-04-12,53.54,45.75247959823372,45.402
2019-04-15,53.276,47.55152129822929,46.462
2019-04-16,54.672,45.80142723149072,46.39
2019-04-17,54.246,46.186600125794854,45.666
2019-04-18,54.652,42.238254688099914,42.206
2019-04-22,52.55,41.058229240224534,41.072
2019-04-23,52.78,41.92195790627136,41.016
2019-04-24,51.732,41.02005035022836,38.546
2019-04-25,49.526,39.18513923474114,39.098
2019-04-26,47.028,37.23583805376353,38.126
2019-04-29,48.294,37.16254152413296,37.74
2019-04-30,47.738,36.832370221156395,37.972
2019-05-01,46.802,36.3713621785659,37.644
2019-05-02,48.82,37.42683820048609,37.032
2019-05-03,51.006,36.77262462866133,35.794
2019-05-06,51.068,41.311120215591984,38.72
2019-05-07,49.412,40.074537416789724,39.318
2019-05-08,48.968,42.45292897495705,41.19
2019-05-09,48.396,41.67653111796005,40.9
2019-05-10,47.904,42.295267288415175,42.576
2019-05-13,45.402,42.760991764343544,43.42
2019-05-14,46.462,42.16202837642413,41.852
2019-05-15,46.39,40.913438932792474,42.782
2019-05-16,45.666,42.60596161434921,42.984
2019-05-17,42.206,43.64992201061108,45.006
2019-05-20,41.072,44.206918420347506,44.948
2019-05-21,41.016,44.73028473207586,45.286
2019-05-22,38.546,44.05663517246842,43.924
2019-05-23,39.098,42.86517941002518,44.372
2019-05-24,38.126,44.59169926289661,44.728
2019-05-28,37.74,44.133191708107404,43.952
2019-05-29,37.972,44.51840075827943,43.854
2019-05-30,37.644,44.38438210007513,44.568
2019-05-31,37.032,45.32361164342592,44.692
2019-06-03,35.794,45.87105448687362,45.434
2019-06-04,38.72,46.25274921647835,44.91
2019-06-05,39.318,46.405149930697974,46.98
2019-06-06,41.19,47.130782231640296,46.62
2019-06-07,40.9,46.73773948096451,46.068
2019-06-10,42.576,46.98602831199071,46.012
2019-06-11,43.42,48.07802328214987,47.784
2019-06-12,41.852,48.07893396354714,47.72
2019-06-13,42.782,48.51719016864004,49.016
2019-06-14,42.984,50.13373218362241,50.7
2019-06-17,45.006,49.92820948290776,50.476
2019-06-18,44.948,50.545004080313504,50.972
2019-06-19,45.286,51.35961505356363,50.708
2019-06-20,43.924,50.719795320886874,51.636
2019-06-21,44.372,50.13436434408524,51.136
2019-06-24,44.728,51.461157874057875,52.034
2019-06-25,43.952,51.76372524475042,52.976
2019-06-26,43.854,46.918271885990094,45.764
2019-06-27,44.568,46.76293969772175,45.608
2019-06-28,44.692,46.853600555797044,47.154
2019-07-01,45.434,47.70753351916005,48.452
2019-07-02,44.91,44.26057287181311,48.322
2019-07-03,46.98,45.09208755998441,46.77
2019-07-05,46.62,46.323959963772296,46.868
2019-07-08,46.068,46.51174379962677,45.664
2019-07-09,46.012,45.76447063022238,46.15
2019-07-10,47.784,46.077588387762546,46.684
2019-07-11,47.72,46.18227881537584,47.66
2019-07-12,49.016,46.151365060585334,47.002
2019-07-15,50.7,44.38512357587234,45.802
2019-07-16,50.476,42.6008168628116,47.0
2019-07-17,50.972,44.385940860098174,43.924
2019-07-18,50.708,44.114519170115784,43.128
2019-07-19,51.636,44.34547930566487,43.988
2019-07-22,51.136,48.73570481946797,45.366
2019-07-23,52.034,45.637798879239085,45.172
2019-07-24,52.976,45.870798426641244,44.166
